make,model,complaints_distinct_odino
TRIUMPH,SPEED TRIPLE RS,2
TRIUMPH,SCRAMBLER 1200 XC,2
TIFFIN,ALLEGRO,2
THOR MOTOR COACH,VENETIAN,2
THOR MOTOR COACH,OUTLAW,2
THOR MOTOR COACH,MIRAMAR,2
THOR MOTOR COACH,FOUR WINDS,2
THOR MOTOR COACH,ACE,2
STARCRAFT RV TT,AUTUMN RIDGE,2
PORSCHE,911,2
POLARIS,RANGER 900,2
PETERBILT,579,2
PACE,JOURNEY,2
OLIVER TRAVEL TRAILERS,LEGACY ELITE II,2
NEWMAR,VENTANA,2
NEWMAR,BAY STAR,2
MIRAGE,CARGO TRAILERS,2
MERCEDES-BENZ,GLS 550,2
MERCEDES-BENZ,AMG GLS63,2
MERCEDES-BENZ,AMG E63S,2
MASERATI,GHIBLI,2
MACK,GRANITE (GR),2
LINCOLN,MKZ HYBRID,2
LEXUS,IS,2
KZRV,SPORTSMEN,2
KTM,690 ENDURO R,2
KTM,1290 SUPER DUKE R,2
KIA,K900,2
KEYSTONE,SPRINTER,2
KEYSTONE,SPRINGDALE,2
KEYSTONE,RAPTOR,2
KEYSTONE,OUTBACK,2
KEYSTONE,MONTANA,2
KEYSTONE,KEYSTONE,2
KEYSTONE,BULLET,2
INTERNATIONAL,LT,2
INFINITI,Q70L,2
INFINITI,Q70,2
IC BUS,PB105,2
HOLIDAY HOUSE,18RB,2
HEARTLAND,SUNDANCE,2
HARLEY-DAVIDSON,XL883N,2
HARLEY-DAVIDSON,FLTRXS,2
HARLEY-DAVIDSON,FLHR,2
FOREST RIVER,SANDPIPER,2
FOREST RIVER,SABRE,2
FOREST RIVER,CEDAR CREEK,2
FLEETWOOD,FLAIR,2
FLEETWOOD,DISCOVERY,2
FCCC,S2RV,2
ENTEGRA,VISION,2
DUTCHMEN,COLEMAN,2
DUCATI,MONSTER 1200,2
CRUISER RV,SHADOW CRUISER,2
COACHMEN,LEPRECHAUN,2
COACHMEN,CATALINA,2
CHEVROLET,MALIBU HYBRID,2
CHEVROLET,EXPRESS 3500,2
CHEVROLET,3500,2
CARRY-ON,ENCLOSED CARGO TRAILER,2
CADILLAC,ATS,2
BMW,K 1600 GT,2
BMW,K 1600 B,2
BMW,640XI,2
BMW,640I,2
BLUE BIRD,BBCV,2
BLUE BIRD,ALL AMERICAN,2
AUDI,S4,2
AUDI,S3,2
4-STAR TRAILER,HORSE TRAILER,2
YAMAHA,YZFR3K,1
YAMAHA,XVS950,1
YACHT CLUB,1825B,1
WINNEBAGO,TREND,1
WINNEBAGO,SUNSTAR,1
WESTERN STAR,5700,1
WESTERN STAR,4900,1
WABASH NATIONAL,VAN,1
VOLVO,V90CC,1
VOLVO,V90,1
VOLVO,V60,1
VOLKSWAGEN,BEETLE CONVERTIBLE,1
VENTURE,SONIC,1
VANLEIGH,VILANO,1
VAN HOOL,CX45,1
URAL,TOURIST,1
TRIUMPH,TIGER 1200 XRX,1
TRIUMPH,THRUXTON,1
TRIUMPH,SPEED TRIPLE S,1
TRIUMPH,SPEED TRIPLE,1
TRIUMPH,SCRAMBLER,1
TRAVEL LITE,TRAVEL LITE,1
TRACKER MARINE,BASS TRACKER,1
TOYOTA,COROLLA HATCHBACK,1
TOYOTA,AVALON HYBRID,1
TIFFIN,BUS,1
TIFFIN,BREEZE,1
TIFFIN,ALLEGRO RED,1
THOR,PALAZZO,1
THOR MOTOR COACH,WINDSPORT,1
THOR MOTOR COACH,TUSCANY,1
THOR MOTOR COACH,PALAZZO,1
THOR MOTOR COACH,MAGNITUDE,1
THOR MOTOR COACH,FREEDOM TRAVELER,1
THOR MOTOR COACH,CHALLENGER,1
THOR MOTOR COACH,AXIS,1
THOR MOTOR COACH,ARIA,1
THOMAS BUILT BUSES,SAF-T-LINER HDX,1
SUBARU,WRX STI,1
SUBARU,BRZ,1
STONEWELL BODIES,MINI TRAILER,1
STARCRAFT RV TT,MOSSY OAK,1
STARCRAFT RV TT,LAUNCH,1
STARCRAFT RV TT,AUTUMN RIDGE OUTFITTER,1
STARCRAFT BUS,QUEST,1
SPARTAN TOOL,WARRIOR,1
SMART,FORTWO,1
ROUSH CLEANTECH,FORD E-450,1
ROSENBAUER,COMMERCIAL F-550,1
RIVERSIDE,TRAVEL TRAILER,1
RENEGADE,VALENCIA,1
PRIME TIME,TRACER,1
PRIME TIME,NAVI,1
PRIME TIME,LACROSSE,1
PORSCHE,718 CAYMAN,1
PLEASANT VALLEY,TEARDROP TRAILER,1
PIERCE,PUMPER,1
PETERBILT,567,1
PETERBILT,520,1
NORTHWOOD,ARCTIC FOX,1
NISSAN,VERSA NOTE,1
NISSAN,370Z,1
NEXUS,WRAITH,1
