# Zilocar census of ACTIVE DO-NOT-DRIVE recall campaigns, from NHTSA ODI recalls flat file FLAT_RCL_POST_2010.txt (static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip). Retrieved/processed 2026-09-15; archive member timestamp 2026-09-15 07:02 UTC; 245,599 rows; 13,616 distinct RCLTYPECD='V' campaigns; newest RCDATE inside = 2026-09-10.
# FILTER: RCLTYPECD='V' AND the structured do-not-drive advisory field = 'Yes'. That field is the 28th of 29 tab-separated fields (0-indexed 27); the 29th (0-indexed 28) is the PARK-OUTSIDE advisory and is reported here as park_outside_advisory. The two were told apart by cross-checking campaigns against NHTSA's own API (parkIt vs parkOutSide) rather than assumed from position: 12V336000 and 13V103000 return parkIt=true/parkOutSide=false, 15V335000 and 18V601000 the reverse, 22V541000 both true.
# POTAFF (potentially affected units) is taken ONCE PER CAMPAIGN, never summed across a campaign's component rows. All 202 campaigns' rows agreed on POTAFF, so this choice is unambiguous.
# TOTALS: 202 campaigns / 20,908,823 units across NHTSA's whole 'V' class. Of these, 108 campaigns / 20,752,140 units are CARS AND LIGHT TRUCKS (vehicle_class=light), and 94 campaigns / 156,683 units are NOT (motorcycles, buses, heavy trucks, motorhomes, trailers, industrial equipment) -- 46.5% of campaigns but only 0.75% of units. Use the light subset for any claim about used CARS.
# CAVEAT: POTAFF is units potentially affected AT LAUNCH, not vehicles still on the road or still unrepaired today. This file is not a count of unrepaired VINs and cannot be read as one.
# vehicle_class was assigned by Zilocar from MAKETXT/MODELTXT, not by NHTSA; NHTSA's 'V' class does not distinguish light vehicles. Note 'ESCAPE' here is Escape Trailer Industries (travel trailers), NOT the Ford Escape, and MERCEDES BENZ / MERCEDES-BENZ are two MAKETXT spellings of one manufacturer.
campaign_number,vehicle_class,potentially_affected_units,manufacturer,makes,models,model_year_min,model_year_max,newest_my_2016_or_older,components,airbag_component,park_outside_advisory,recall_report_date
20V016000,light,4007,"BMW of North America, LLC",BMW,X5; X6; X6 ACTIVEHYBRID SAC,2007,2012,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20200115
18V089000,other,3964,"Kawasaki Motors Corp., U.S.A.",KAWASAKI,NINJA 1000,2016,2018,no,POWER TRAIN:MANUAL TRANSMISSION,no,No,20180201
20V747000,light,3930,"Nissan North America, Inc.",NISSAN,SENTRA,2002,2006,yes,AIR BAGS; AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20201201
19V698000,light,3924,"BMW of North America, LLC",BMW,323; 325; 330,2000,2002,yes,AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE,yes,No,20191002
23V649000,light,3866,"Kia America, Inc.",KIA,FORTE,2023,2023,no,SUSPENSION:FRONT:CONTROL ARM:LOWER ARM,no,No,20230922
16V256000,light,3738,"General Motors, LLC",CADILLAC; CHEVROLET; GMC,ESCALADE; ESCALADE ESV; SIERRA 1500; SILVERADO 1500; SUBURBAN; TAHOE; YUKON; YUKON XL,2016,2017,no,SUSPENSION:FRONT:CONTROL ARM,no,No,20160428
22V130000,other,3594,"Yamaha Motor Corporation, USA",YAMAHA,MT-09; TRACER 9 GT,2021,2022,no,ENGINE AND ENGINE COOLING:ENGINE:ENGINE CONTROL MODULE (ECU/ECM):SOFTWARE,no,No,20220307
24V396000,other,3502,Volvo Trucks North America,VOLVO,VHD; VN; VNRE (ELECTRIC),2025,2025,no,STEERING:LINKAGES:DRAG:LINK:CONNECTION,no,No,20240604
15V802000,other,2921,"Yamaha Motor Corporation, USA",YAMAHA,YZFR1; YZFR1C; YZFR1MF; YZFR1MFC,2015,2015,yes,POWER TRAIN:MANUAL TRANSMISSION,no,No,20151130
21V684000,other,2823,"Mack Trucks, Inc.",MACK,MD,2020,2022,no,"SERVICE BRAKES, HYDRAULIC:PEDALS AND LINKAGES",no,No,20210901
25V778000,other,2715,"Yamaha Motor Corporation, USA",YAMAHA,XMAX,2018,2022,no,ENGINE AND ENGINE COOLING:CRITICAL FASTENERS,no,No,20251112
24V533000,light,2475,"Porsche Cars North America, Inc.",PORSCHE,CAYENNE,2024,2024,no,SUSPENSION:FRONT:CONTROL ARM:UPPER ARM,no,No,20240716
18V324000,light,2473,"Volkswagen Group of America, Inc.",VOLKSWAGEN,TIGUAN,2018,2018,no,SUSPENSION:FRONT:CONTROL ARM:LOWER BALL JOINT,no,No,20180516
21V865000,other,2462,"Yamaha Motor Corporation, USA",YAMAHA,FJR1300,2016,2021,no,ENGINE AND ENGINE COOLING:ENGINE:ENGINE CONTROL MODULE (ECU/ECM):SOFTWARE,no,No,20211105
17V703000,other,2383,"Kawasaki Motors Corp., U.S.A.",KAWASAKI,Z900; ZR900,2017,2018,no,SUSPENSION:REAR:SHOCK ABSORBER,no,No,20171108
25V401000,light,2345,Ford Motor Company,FORD,F-250 SD; F-350 SD; F-450 SD; F-550 SD,2025,2025,no,"SERVICE BRAKES, HYDRAULIC:PEDALS AND LINKAGES",no,No,20250613
20V813000,other,2285,"Yamaha Motor Corporation, USA",YAMAHA,FJR1300,2016,2020,no,POWER TRAIN:MANUAL TRANSMISSION:INTERNAL:GEARS,no,No,20201228
24V809000,light,2251,"Porsche Cars North America, Inc.",PORSCHE,718 CAYMAN GT4 RS; 718 SPYDER RS; 911,2021,2024,no,WHEELS:LUGS/NUTS/BOLTS/STUDS,no,No,20241028
18V039000,light,2205,Mazda Motor Corp.,MAZDA,B-SERIES TRUCK,2006,2006,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20180116
18V038000,light,2205,Mazda Motor Corp.,MAZDA,B-SERIES TRUCK,2006,2006,yes,AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE,yes,No,20180116
14V325000,light,2138,Hyundai Motor America,HYUNDAI,SONATA,2015,2015,yes,ELECTRICAL SYSTEM:WIRING; STEERING,no,No,20140612
14V440000,light,1919,"General Motors, LLC",CHEVROLET,SPARK,2014,2014,yes,SUSPENSION:FRONT:CONTROL ARM:LOWER ARM,no,No,20140721
15V022000,other,1896,Polaris Industries Inc.,POLARIS,SLINGSHOT,2015,2015,yes,STEERING,no,No,20150121
23V859000,other,1799,"Doosan Bobcat North America, Inc.",DOOSAN PORTABLE POWER,MOBILE GENERATOR,2019,2023,no,SERVICE BRAKES,no,No,20231219
20V774000,other,1770,"Kawasaki Motors Corp., U.S.A.",KAWASAKI,EX400G; NINJA 400; Z400,2021,2021,no,ENGINE; ENGINE AND ENGINE COOLING:ENGINE:HARD PARTS INTERNAL/MECHANICAL,no,No,20201211
24V535000,other,1688,"Suzuki Motor USA, LLC",SUZUKI,DL800,2023,2024,no,TIRES,no,No,20240717
