cut,key,initiator_flag,initiator_meaning,campaigns,pct_of_campaigns,units,pct_of_units,median_units,campaigns_over_1m_units,note
by_manufacturer_2015_2026,"Nissan North America, Inc.",ODI,NHTSA Office of Defects Investigation,26,13.7,8815960,40.4,128658,2,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Nissan North America, Inc.",OVSC,NHTSA Office of Vehicle Safety Compliance,2,1.1,1273094,5.8,636547,1,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Kia America, Inc.",MFR,manufacturer-filed,132,85.7,9729116,70.8,12380,1,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Kia America, Inc.",ODI,NHTSA Office of Defects Investigation,21,13.6,3935107,28.6,100063,0,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Kia America, Inc.",OVSC,NHTSA Office of Vehicle Safety Compliance,1,0.6,76918,0.6,76918,0,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Daimler Vans USA, LLC",MFR,manufacturer-filed,116,91.3,812633,56.4,358,0,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Daimler Vans USA, LLC",ODI,NHTSA Office of Defects Investigation,11,8.7,629181,43.6,48400,0,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Jaguar Land Rover North America, LLC",MFR,manufacturer-filed,108,88.5,975045,66.2,1454,0,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Jaguar Land Rover North America, LLC",ODI,NHTSA Office of Defects Investigation,14,11.5,498574,33.8,16645,0,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Tesla, Inc.",MFR,manufacturer-filed,74,82.2,6720796,50.0,4230,2,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Tesla, Inc.",ODI,NHTSA Office of Defects Investigation,11,12.2,3305169,24.6,68673,1,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Tesla, Inc.",OVSC,NHTSA Office of Vehicle Safety Compliance,5,5.6,3414400,25.4,578607,1,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Subaru of America, Inc.",MFR,manufacturer-filed,69,77.5,6303163,66.3,7741,1,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,"Subaru of America, Inc.",ODI,NHTSA Office of Defects Investigation,20,22.5,3206738,33.7,102385,0,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,Mazda Motor Corp.,MFR,manufacturer-filed,61,70.1,4946920,74.3,13891,1,"Part 573 filer (MFGTXT), not badge make"
by_manufacturer_2015_2026,Mazda Motor Corp.,ODI,NHTSA Office of Defects Investigation,26,29.9,1715146,25.7,35207,0,"Part 573 filer (MFGTXT), not badge make"
