# Zilocar analysis of NHTSA ODI complaints (FLAT_CMPL.txt, Last-Modified 2026-09-09 10:22 UTC, retrieved 2026-09-10).
# Universe: PROD_TYPE='V', model years 2015-2022, deduplicated on ODINO = 325,275 distinct complaints across 2,228 make/model labels.
# severe = CRASH='Y' OR INJURED>0 OR DEATHS>0, all self-reported and unverified.
# REVERSAL COLUMN: airbag-cited complaints are 4.9% of all complaints but 30.4% of severe ones, because an airbag complaint is near-definitionally crash-linked.
# severe_share_ex_airbag_pct removes every complaint citing AIR BAGS. Under it the Toyota Corolla falls from 1st (18.2%) to 5th (8.5%) and the Tesla Model X leads at 13.0%.
# Labels are exactly as NHTSA spells them, unmerged. Counts are distinct complaints, not vehicles or owners. No sales denominator exists in this file.
make,model,model_years,complaints,severe,severe_share_pct,crash_reports,injury_reports,death_reports,severe_citing_airbags,airbag_pct_of_severe,complaints_ex_airbag,severe_ex_airbag,severe_share_ex_airbag_pct
HARLEY-DAVIDSON,FLHTCUTG,2015-2022,42,8,19.05,7,6,4,0,0.0,42,8,19.05
HYUNDAI,IONIQ 5,2022-2022,404,8,1.98,7,1,0,0,0.0,403,8,1.99
JEEP,GRAND CHEROKEE 4XE,2022-2022,147,8,5.44,8,5,0,2,25.0,144,6,4.17
MERCEDES-BENZ,E350,2015-2017,89,8,8.99,7,6,0,2,25.0,81,6,7.41
MITSUBISHI,LANCER,2015-2017,59,8,13.56,7,5,0,6,75.0,50,2,4.0
PORSCHE,TAYCAN,2020-2022,239,8,3.35,7,2,0,1,12.5,236,7,2.97
RIVIAN,R1T,2022-2022,65,8,12.31,7,6,0,0,0.0,60,8,13.33
SMART,FORTWO,2015-2019,36,8,22.22,6,5,0,1,12.5,35,7,20.0
TOYOTA,CAMRY HYBRID,2015-2022,83,8,9.64,7,5,0,4,50.0,60,4,6.67
TOYOTA,VENZA,2015-2015,27,8,29.63,8,3,0,2,25.0,21,6,28.57
ALFA ROMEO,STELVIO,2018-2022,195,7,3.59,7,3,0,1,14.3,186,6,3.23
BMW,540I,2017-2022,76,7,9.21,7,3,0,1,14.3,55,6,10.91
CADILLAC,ATS,2015-2019,116,7,6.03,6,6,0,2,28.6,105,5,4.76
CAN-AM,RYKER,2019-2022,123,7,5.69,6,4,0,0,0.0,123,7,5.69
FORD,FUSION ENERGI,2015-2020,232,7,3.02,5,2,1,1,14.3,231,6,2.6
FOREST RIVER,ROCKWOOD,2015-2022,78,7,8.97,5,4,0,0,0.0,78,7,8.97
GENESIS,GV80,2021-2022,101,7,6.93,7,4,0,2,28.6,98,5,5.1
GMC,SIERRA DENALI,2015-2020,118,7,5.93,4,4,0,1,14.3,116,6,5.17
LAND ROVER,DISCOVERY SPORT,2015-2022,167,7,4.19,7,1,0,0,0.0,167,7,4.19
LINCOLN,CORSAIR,2020-2022,128,7,5.47,4,5,0,3,42.9,125,4,3.2
MAZDA,MX-5,2015-2022,66,7,10.61,6,4,0,4,57.1,57,3,5.26
MERCEDES-BENZ,AMG GLE43,2017-2019,38,7,18.42,4,5,0,1,14.3,37,6,16.22
MERCEDES-BENZ,S550,2015-2017,72,7,9.72,4,5,0,3,42.9,66,4,6.06
RAM,5500,2015-2022,137,7,5.11,6,3,0,1,14.3,136,6,4.41
SCION,TC,2015-2016,28,7,25.0,5,5,0,4,57.1,23,3,13.04
TOYOTA,PRIUS C,2015-2018,37,7,18.92,5,6,0,3,42.9,34,4,11.76
AUDI,A5,2015-2022,138,6,4.35,4,2,1,1,16.7,132,5,3.79
AUDI,E-TRON,2019-2022,145,6,4.14,5,3,0,2,33.3,142,4,2.82
AUDI,SQ5,2015-2022,84,6,7.14,4,2,0,1,16.7,80,5,6.25
BMW,530E,2018-2022,44,6,13.64,4,4,0,1,16.7,33,5,15.15
BMW,X1 SAV,2015-2017,54,6,11.11,5,4,0,4,66.7,24,2,8.33
BMW,X4,2015-2022,76,6,7.89,6,1,0,3,50.0,70,3,4.29
BMW,X7,2019-2022,163,6,3.68,3,3,0,0,0.0,160,6,3.75
CADILLAC,XTS,2015-2019,72,6,8.33,5,1,0,0,0.0,69,6,8.7
CHEVROLET,EXPRESS,2015-2022,96,6,6.25,5,4,0,3,50.0,88,3,3.41
FORD,E-350,2015-2022,67,6,8.96,4,2,0,0,0.0,67,6,8.96
FORD,F-150 LIGHTNING BEV,2022-2022,90,6,6.67,4,2,0,0,0.0,89,6,6.74
FORD,F-450,2015-2020,83,6,7.23,4,3,0,0,0.0,82,6,7.32
GENESIS,G90,2017-2022,57,6,10.53,6,2,0,0,0.0,56,6,10.71
HYUNDAI,TUCSON HYBRID,2022-2022,112,6,5.36,6,1,0,1,16.7,109,5,4.59
HYUNDAI,VENUE,2020-2022,96,6,6.25,6,2,0,1,16.7,94,5,5.32
JAGUAR,XJ,2015-2019,19,6,31.58,6,4,0,2,33.3,17,4,23.53
JEEP,GRAND CHEROKEE L,2021-2022,146,6,4.11,5,2,0,3,50.0,140,3,2.14
KIA,NIRO EV,2019-2022,68,6,8.82,6,1,0,1,16.7,67,5,7.46
KIA,SOUL EV,2015-2019,37,6,16.22,6,2,0,0,0.0,37,6,16.22
LEXUS,RX HYBRID,2015-2020,30,6,20.0,6,2,0,2,33.3,26,4,15.38
LINCOLN,CONTINENTAL,2017-2020,133,6,4.51,4,2,0,0,0.0,131,6,4.58
LINCOLN,NAUTILUS,2019-2022,168,6,3.57,6,1,0,1,16.7,166,5,3.01
MASERATI,GHIBLI,2015-2020,60,6,10.0,6,2,0,1,16.7,58,5,8.62
MERCEDES-BENZ,E 300,2018-2019,61,6,9.84,4,5,0,2,33.3,58,4,6.9
MERCEDES-BENZ,GLB 250,2020-2022,91,6,6.59,4,4,0,1,16.7,86,5,5.81
MERCEDES-BENZ,GLS450,2017-2021,70,6,8.57,3,4,0,1,16.7,69,5,7.25
MITSUBISHI,ECLIPSE CROSS,2018-2022,43,6,13.95,5,5,1,4,66.7,36,2,5.56
NISSAN,TITAN XD,2016-2016,197,6,3.05,5,2,0,2,33.3,194,4,2.06
SCION,IA,2016-2016,23,6,26.09,6,3,0,4,66.7,17,2,11.76
SUBARU,XV CROSSTREK,2015-2017,84,6,7.14,6,3,0,2,33.3,80,4,5.0
TOYOTA,COROLLA CROSS,2022-2022,45,6,13.33,6,6,0,5,83.3,39,1,2.56
TOYOTA,MIRAI,2016-2022,24,6,25.0,4,3,0,0,0.0,22,6,27.27
AUDI,A6,2015-2022,261,5,1.92,4,4,0,2,40.0,241,3,1.24
BMW,X6,2015-2022,51,5,9.8,3,4,0,1,20.0,48,4,8.33
CADILLAC,CT5,2020-2022,71,5,7.04,5,3,0,3,60.0,66,2,3.03
CADILLAC,CTS,2015-2019,123,5,4.07,4,1,0,1,20.0,118,4,3.39
HARLEY-DAVIDSON,FLHXS,2015-2022,34,5,14.71,4,3,0,0,0.0,34,5,14.71
HYUNDAI,AZERA,2015-2017,36,5,13.89,3,3,0,1,20.0,32,4,12.5
HYUNDAI,IONIQ PLUG-IN HYBRID,2018-2022,26,5,19.23,5,3,0,1,20.0,25,4,16.0
HYUNDAI,KONA ELECTRIC,2019-2022,127,5,3.94,5,1,0,1,20.0,126,4,3.17
INFINITI,Q60,2015-2021,70,5,7.14,4,3,0,1,20.0,55,4,7.27
INFINITI,QX30,2017-2019,59,5,8.47,5,4,0,3,60.0,43,2,4.65
KIA,CADENZA,2015-2019,106,5,4.72,5,2,0,2,40.0,102,3,2.94
KIA,STINGER,2018-2022,161,5,3.11,5,1,1,0,0.0,161,5,3.11
LAND ROVER,DISCOVERY,2016-2022,172,5,2.91,5,2,1,0,0.0,167,5,2.99
LEXUS,ES HYBRID,2015-2022,26,5,19.23,5,1,0,2,40.0,23,3,13.04
LUCID,AIR,2022-2022,23,5,21.74,5,0,0,1,20.0,21,4,19.05
MERCEDES-BENZ,E300,2016-2017,132,5,3.79,2,5,0,1,20.0,126,4,3.17
MERCEDES-BENZ,E400,2015-2017,69,5,7.25,3,3,0,2,40.0,23,3,13.04
MERCEDES-BENZ,GLK350,2015-2015,114,5,4.39,4,4,1,3,60.0,30,2,6.67
PORSCHE,CAYENNE,2015-2022,170,5,2.94,3,2,0,0,0.0,137,5,3.65
TOYOTA,COROLLA IM,2017-2018,20,5,25.0,5,4,0,3,60.0,16,2,12.5
TOYOTA,YARIS IA,2017-2018,24,5,20.83,5,2,0,4,80.0,19,1,5.26
VOLKSWAGEN,BEETLE,2015-2019,177,5,2.82,5,1,0,2,40.0,87,3,3.45
VOLKSWAGEN,GOLF R,2015-2022,53,5,9.43,1,4,0,0,0.0,53,5,9.43
AUDI,Q8,2019-2022,168,4,2.38,3,2,0,0,0.0,167,4,2.4
BMW,228I,2015-2022,48,4,8.33,3,4,0,3,75.0,45,1,2.22
BMW,528I,2015-2016,124,4,3.23,2,3,0,2,50.0,118,2,1.69
BUICK,VERANO,2015-2017,126,4,3.17,4,2,0,1,25.0,91,3,3.3
CADILLAC,CT6,2016-2020,64,4,6.25,4,2,1,2,50.0,62,2,3.23
DODGE,CARAVAN,2015-2017,26,4,15.38,4,2,0,1,25.0,23,3,13.04
FIAT,500X,2016-2022,187,4,2.14,4,2,0,3,75.0,180,1,0.56
FORD,EXPLORER HYBRID,2020-2022,9,4,44.44,3,3,0,1,25.0,8,3,37.5
FORD,F-550,2016-2020,60,4,6.67,4,0,0,1,25.0,55,3,5.45
GMC,YUKON DENALI,2015-2019,108,4,3.7,4,3,0,2,50.0,106,2,1.89
HARLEY-DAVIDSON,XG500,2015-2019,14,4,28.57,3,3,0,0,0.0,14,4,28.57
HONDA,SXS1000,2016-2020,9,4,44.44,3,4,0,0,0.0,9,4,44.44
HYUNDAI,ELANTRA HYBRID,2021-2022,68,4,5.88,3,3,0,1,25.0,67,3,4.48
HYUNDAI,SANTA CRUZ,2022-2022,179,4,2.23,4,3,0,3,75.0,176,1,0.57
JAGUAR,XE,2017-2020,37,4,10.81,4,3,0,2,50.0,32,2,6.25
LAND ROVER,DEFENDER,2020-2022,163,4,2.45,3,2,0,0,0.0,161,4,2.48
LAND ROVER,LR4,2015-2016,46,4,8.7,1,3,0,1,25.0,44,3,6.82
LEXUS,CT,2015-2016,19,4,21.05,2,4,1,2,50.0,17,2,11.76
