make,model,my_window,total_complaints,severe_complaints,crash_reports,injury_reports,death_reports,severe_share_pct
LINCOLN,AVIATOR PHEV,2015-2022,27,3,2,1,0,11.1
BMW,R1200 GS,2015-2022,29,3,3,2,0,10.3
PORSCHE,PANAMERA,2015-2022,29,3,3,2,0,10.3
BMW,IX,2015-2022,29,3,3,0,0,10.3
MERCEDES-BENZ,GL450,2015-2022,32,3,2,1,0,9.4
RAM,4500,2015-2022,34,3,3,1,0,8.8
HARLEY-DAVIDSON,FLTRXS,2015-2022,41,3,3,2,0,7.3
MINI,COOPER S,2015-2022,43,3,3,2,0,7.0
MERCEDES-BENZ,E 450,2015-2022,43,3,1,3,0,7.0
NISSAN,NV,2015-2022,44,3,2,2,0,6.8
FORD,F-550 SD,2015-2022,45,3,2,2,0,6.7
VOLVO,V60,2015-2022,49,3,2,2,0,6.1
KENWORTH,T680,2015-2022,52,3,2,1,0,5.8
CAN-AM,SPYDER RT,2015-2022,52,3,1,3,1,5.8
TOYOTA,SIENNA HYBRID,2015-2022,61,3,1,3,0,4.9
AUDI,S5,2015-2022,62,3,2,1,0,4.8
AUDI,A8,2015-2022,72,3,3,1,0,4.2
MERCEDES-BENZ,A 220,2015-2022,77,3,2,3,0,3.9
