make,model,my_window,total_complaints,severe_complaints,crash_reports,injury_reports,death_reports,severe_share_pct
HYUNDAI,IONIQ PLUG-IN HYBRID,2015-2022,26,5,5,3,0,19.2
HARLEY-DAVIDSON,FLHXS,2015-2022,34,5,4,3,0,14.7
HYUNDAI,AZERA,2015-2022,36,5,3,3,0,13.9
BMW,X6,2015-2022,51,5,3,4,0,9.8
VOLKSWAGEN,GOLF R,2015-2022,53,5,1,4,0,9.4
INFINITI,QX30,2015-2022,59,5,5,4,0,8.5
MERCEDES-BENZ,E400,2015-2022,69,5,3,3,0,7.2
INFINITI,Q60,2015-2022,70,5,4,3,0,7.1
CADILLAC,CT5,2015-2022,71,5,5,3,0,7.0
KIA,CADENZA,2015-2022,106,5,5,2,0,4.7
MERCEDES-BENZ,GLK350,2015-2022,114,5,4,4,1,4.4
CADILLAC,CTS,2015-2022,123,5,4,1,0,4.1
HYUNDAI,KONA ELECTRIC,2015-2022,127,5,5,1,0,3.9
MERCEDES-BENZ,E300,2015-2022,132,5,2,5,0,3.8
KIA,STINGER,2015-2022,161,5,5,1,1,3.1
PORSCHE,CAYENNE,2015-2022,170,5,3,2,0,2.9
LAND ROVER,DISCOVERY,2015-2022,172,5,5,2,1,2.9
VOLKSWAGEN,BEETLE,2015-2022,177,5,5,1,0,2.8
AUDI,A6,2015-2022,261,5,4,4,0,1.9
HONDA,SXS1000,2015-2022,9,4,3,4,0,44.4
FORD,EXPLORER HYBRID,2015-2022,9,4,3,3,0,44.4
LEXUS,UX,2015-2022,9,4,4,1,0,44.4
HARLEY-DAVIDSON,XG500,2015-2022,14,4,3,3,0,28.6
LEXUS,CT,2015-2022,19,4,2,4,1,21.1
LEXUS,IS 300,2015-2022,22,4,3,4,0,18.2
MERCEDES-BENZ,GLE450,2015-2022,25,4,4,2,0,16.0
DODGE,CARAVAN,2015-2022,26,4,4,2,0,15.4
VOLVO,VNL,2015-2022,31,4,3,2,0,12.9
JAGUAR,XE,2015-2022,37,4,4,3,0,10.8
TOYOTA,SUPRA,2015-2022,37,4,4,1,0,10.8
LAND ROVER,LR4,2015-2022,46,4,1,3,0,8.7
BMW,228I,2015-2022,48,4,3,4,0,8.3
MERCEDES-BENZ,S 580,2015-2022,57,4,2,3,1,7.0
LINCOLN,MKT,2015-2022,59,4,2,3,0,6.8
FORD,F-550,2015-2022,60,4,4,0,0,6.7
TOYOTA,SEQUOIA,2015-2022,62,4,2,4,0,6.5
CADILLAC,CT6,2015-2022,64,4,4,2,1,6.2
MINI,COUNTRYMAN,2015-2022,67,4,3,1,0,6.0
HYUNDAI,ELANTRA HYBRID,2015-2022,68,4,3,3,0,5.9
MERCEDES-BENZ,GLS 450,2015-2022,69,4,4,1,0,5.8
VOLKSWAGEN,GOLF ALLTRACK,2015-2022,99,4,1,3,0,4.0
GMC,YUKON DENALI,2015-2022,108,4,4,3,0,3.7
BMW,528I,2015-2022,124,4,2,3,0,3.2
BUICK,VERANO,2015-2022,126,4,4,2,0,3.2
LAND ROVER,DEFENDER,2015-2022,163,4,3,2,0,2.5
AUDI,Q8,2015-2022,168,4,3,2,0,2.4
HYUNDAI,SANTA CRUZ,2015-2022,179,4,4,3,0,2.2
FIAT,500X,2015-2022,187,4,4,2,0,2.1
VOLKSWAGEN,TAOS,2015-2022,311,4,4,1,0,1.3
ASTON MARTIN,V8 VANTAGE S,2015-2022,4,3,3,3,0,75.0
WESTERN STAR,4700,2015-2022,5,3,2,1,1,60.0
KYMCO,K-PIPE,2015-2022,5,3,3,2,0,60.0
LEXUS,LS500,2015-2022,8,3,3,1,0,37.5
MERCEDES-BENZ,EQS 450+,2015-2022,8,3,3,2,0,37.5
BMW,I4,2015-2022,9,3,3,1,0,33.3
MAZDA,MAZDA5,2015-2022,11,3,3,1,0,27.3
WINNEBAGO,MICRO MINNIE,2015-2022,11,3,0,3,0,27.3
HARLEY-DAVIDSON,FLTRX,2015-2022,12,3,1,3,0,25.0
NISSAN,370Z,2015-2022,14,3,3,3,0,21.4
TOYOTA,LAND CRUISER,2015-2022,15,3,2,1,0,20.0
BMW,440I,2015-2022,16,3,3,2,0,18.8
INDIAN,SCOUT,2015-2022,18,3,3,2,0,16.7
VOLVO,V90CC,2015-2022,18,3,1,3,0,16.7
MERCEDES-BENZ,GLC,2015-2022,19,3,3,2,0,15.8
NISSAN,REDUNDANT NV200,2015-2022,20,3,1,3,0,15.0
BMW,Z4,2015-2022,21,3,3,1,0,14.3
HARLEY-DAVIDSON,FLHX,2015-2022,21,3,3,3,0,14.3
BMW,X2,2015-2022,21,3,3,2,0,14.3
CHRYSLER,300C,2015-2022,23,3,3,0,0,13.0
HYUNDAI,IONIQ ELECTRIC,2015-2022,24,3,3,1,0,12.5
HONDA,CIVIC TYPE R,2015-2022,24,3,3,1,0,12.5
NISSAN,NV200,2015-2022,26,3,3,2,0,11.5
