make,model,transmission_complaints,narrative_confirmed_complaints,total_complaints,transmission_share_pct
JEEP,WRANGLER YJ,2,1,36,5.6
KAWASAKI,KL650A6F,2,1,10,20.0
KAWASAKI,NINJA 400,2,2,2,100.0
KAWASAKI,VN1500,2,2,12,16.7
KAWASAKI,VN1700,2,2,5,40.0
KAWASAKI,VULCAN NOMAD,2,1,15,13.3
KAWASAKI,ZX636C1,2,2,6,33.3
KAWASAKI,ZX900,2,2,7,28.6
KIA,FORTE KOUP,2,0,70,2.9
KIA,K900,2,2,101,2.0
KTM,1290 SUPER DUKE R,2,2,22,9.1
KTM,790 ADVENTURE,2,2,32,6.2
LEXUS,LS 460,2,1,46,4.3
LEXUS,LX,2,0,79,2.5
LEXUS,LX450,2,1,23,8.7
LEXUS,RZ,2,1,34,5.9
LOTUS,EXIGE S,2,0,9,22.2
MACK,ANTHEM (AN),2,1,15,13.3
MACK,GU,2,0,9,22.2
MACK,MD,2,1,5,40.0
MAZDA,CX-50 HYBRID,2,2,18,11.1
MAZDA,MX6,2,2,62,3.2
MERCEDES BENZ,202,2,0,12,16.7
MERCEDES BENZ,300E,2,2,57,3.5
MERCEDES BENZ,400,2,2,28,7.1
MERCEDES BENZ,CL550,2,2,22,9.1
MERCEDES BENZ,CLK,2,2,28,7.1
MERCEDES BENZ,CLS CLASS,2,1,11,18.2
MERCEDES BENZ,ML,2,1,9,22.2
MERCEDES BENZ,R-CLASS,2,0,10,20.0
MERCEDES BENZ,S55,2,2,19,10.5
MERCEDES BENZ,SL,2,1,57,3.5
MERCEDES BENZ,SL CLASS,2,1,58,3.4
MERCEDES BENZ,SL320,2,1,44,4.5
MERCEDES BENZ,SL550,2,2,46,4.3
MERCEDES-BENZ,AMG CLS55,2,2,41,4.9
MERCEDES-BENZ,AMG E53,2,0,27,7.4
MERCEDES-BENZ,AMG E63,2,1,54,3.7
MERCEDES-BENZ,AMG GLC63,2,2,11,18.2
MERCEDES-BENZ,AMG GLE53,2,2,48,4.2
MERCEDES-BENZ,AMG SL63,2,1,12,16.7
MERCEDES-BENZ,CLE 300 4MATIC,2,1,9,22.2
MERCEDES-BENZ,E 350 4MATIC,2,1,20,10.0
MERCEDES-BENZ,E 450 4MATIC,2,1,10,20.0
MERCEDES-BENZ,EQB 350 4MATIC,2,0,26,7.7
MERCEDES-BENZ,EQE 500 4MATIC,2,1,5,40.0
MERCEDES-BENZ,GLE 350 4MATIC,2,1,51,3.9
MERCEDES-BENZ,GLE 400 E,2,1,23,8.7
MERCEDES-BENZ,GLE400,2,2,7,28.6
MERCEDES-BENZ,GLS 580 4MATIC,2,1,14,14.3
MERCEDES-BENZ,MERCEDES-BENZ,2,1,21,9.5
MERCEDES-BENZ,S 450,2,1,16,12.5
MERCEDES-BENZ,S 560 4MATIC,2,0,5,40.0
MERCEDES-BENZ,S350,2,1,11,18.2
MERCEDES-BENZ,S400,2,0,39,5.1
MERCEDES-BENZ,SLK230,2,2,15,13.3
MERCEDES-BENZ,SPRINTER (VS30),2,2,15,13.3
MERKUR,MERKUR,2,1,10,20.0
MINI,COOPER CLUBMAN S,2,1,39,5.1
MINI,COOPER S US,2,1,19,10.5
MITSUBISHI,> LANCER SPORTBACK RALLIA,2,1,5,40.0
MITSUBISHI,I-MIEV,2,0,21,9.5
MOBILITY WORKS,FORD E-250,2,2,4,50.0
MONACO COACH,KNIGHT,2,1,62,3.2
MONACO COACH,LAPALMA,2,1,40,5.0
MONACO COACH,MONACO,2,2,57,3.5
MOTORCYCLE,MOTORCYCLE,2,2,9,22.2
MUSTANG,SHELBY GT 500,2,1,5,40.0
NEWMAR,BAY STAR,2,0,59,3.4
NEWMAR,VENTANA,2,0,21,9.5
NISSAN,AXXESS,2,2,7,28.6
OLDSMOBILE,CUTLASS CIERA,2,2,25,8.0
OLDSMOBILE,TORONADO,2,2,45,4.4
PACE ARROW,VISION,2,2,30,6.7
PETERBILT,320,2,2,7,28.6
PETERBILT,379,2,2,76,2.6
PETERBILT,567,2,2,11,18.2
PETERBILT,PETERBILT,2,1,46,4.3
POLARIS,RANGER RZR,2,2,7,28.6
POLARIS,SLINGSHOT R,2,2,9,22.2
POLARIS,SPORTSMAN 1000XP,2,0,26,7.7
PONTIAC,PONTIAC,2,2,143,1.4
PORSCHE,911 (997),2,1,11,18.2
PORSCHE,911 CARRERA,2,1,55,3.6
PORSCHE,CARRERA,2,0,34,5.9
PORSCHE,CAYENNE (E2),2,0,8,25.0
PORSCHE,PANAMERA TURBO,2,1,8,25.0
QUALITY VAN,FORD TRANSIT 350,2,1,5,40.0
REGENCY,FORD F150,2,2,23,8.7
RENAULT,MEDALLION,2,1,20,10.0
RIVIAN,EDV,2,1,25,8.0
ROLLS-ROYCE,SILVER SPUR,2,2,8,25.0
ROYAL ENFIELD,BULLET ELECTRA EFI,2,1,4,50.0
SATURN,S-SERIES,2,2,21,9.5
SATURN,S-SERIES SEDAN,2,2,21,9.5
SATURN,SATURN S SERIES,2,2,4,50.0
SCION,IQ,2,2,35,5.7
SPARTAN,K3,2,2,28,7.1
STARCRAFT,ROADSTAR,2,1,3,66.7
SUBARU,TRIBECA,2,2,52,3.8
SUZUKI,AN400K7,2,2,5,40.0
SUZUKI,DL1000,2,1,39,5.1
SUZUKI,GRAND VITARA XL7,2,1,36,5.6
SUZUKI,GSX750FW,2,2,4,50.0
SUZUKI,GSXR1000,2,2,9,22.2
SUZUKI,VL800,2,1,35,5.7
THOMAS BUILT BUSES,MINOTOUR,2,2,3,66.7
THOR,CITATION,2,2,4,50.0
THOR MOTOR COACH,ACE,2,1,47,4.3
THOR MOTOR COACH,CHATEAU,2,0,26,7.7
TOYOTA,GR86,2,0,53,3.8
TOYOTA,GRAND HIGHLANDER HYBRID,2,1,9,22.2
TOYOTA,MIRAI,2,0,52,3.8
TOYOTA,PREVIA,2,0,282,0.7
TOYOTA,SCION,2,1,20,10.0
TOYOTA,YARIS H/B,2,1,103,1.9
TOYOTA,YARIS IA,2,2,32,6.2
TRIUMPH,BONNEVILLE T100,2,2,13,15.4
TRIUMPH,DAYTONA 600,2,2,5,40.0
TRIUMPH,DAYTONA 675 R,2,1,6,33.3
TRIUMPH,TIGER,2,2,12,16.7
TRIUMPH,TRIUMPH ROCKET III,2,2,7,28.6
U HAUL,U HAUL,2,2,51,3.9
UNIROYAL,TIGER PAWS TIRE,2,2,16,12.5
UNKNOWN MANUFACTURER,UNKNOWN MANUFACTURER,2,2,140,1.4
VICTORY,KINGPIN EIGHT BALL,2,1,4,50.0
VICTORY,V92DC,2,2,2,100.0
VICTORY,VEGAS,2,1,25,8.0
VOLKSWAGEN,JETTA WAGON,2,1,12,16.7
VOLKSWAGEN,PHAETON,2,2,11,18.2
VOLKSWAGEN,TIGUAN LIMITED,2,0,11,18.2
VOLVO,660,2,2,43,4.7
VOLVO,C30,2,2,62,3.2
VOLVO,CROSS COUNTRY,2,2,14,14.3
VOLVO,EX40,2,1,8,25.0
VOLVO,VNL770,2,2,39,5.1
VOLVO,WIA64TES,2,2,73,2.7
WILDFIRE,WFH150-SE,2,0,7,28.6
WINNEBAGO,ITASCA,2,1,48,4.2
WINNEBAGO,LESHARO,2,2,8,25.0
WINNEBAGO,PHASAR,2,1,26,7.7
WINNEBAGO,REVEL,2,0,38,5.3
WORKHORSE,W22,2,2,370,0.5
YAMAHA,FJ-09,2,1,14,14.3
YAMAHA,MT-09,2,2,13,15.4
YAMAHA,TW200,2,2,5,40.0
YAMAHA,XV16AT,2,1,3,66.7
YAMAHA,XV1700PC,2,1,2,100.0
YAMAHA,XVS950,2,2,34,5.9
YAMAHA,YZF600,2,2,4,50.0
4-STAR,HORSE TRAILER,1,1,11,9.1
4-STAR TRAILER,HORSE TRAILER,1,1,2,50.0
ABC,ACRON MAGNUM,1,1,12,8.3
ACURA,2.3CL,1,1,1,100.0
ACURA,NSX,1,1,20,5.0
ACURA,RLX HYBRID,1,0,6,16.7
ACURA,SLX,1,1,13,7.7
AERO,AEROLITE,1,1,7,14.3
AIRSTREAM,390 SERIES,1,1,2,50.0
AIRSTREAM,AIRSTREAM,1,1,28,3.6
ALFA ROMEO,TONALE PHEV,1,1,18,5.6
ALLEGRO,MOTOR HOME,1,1,18,5.6
AMERICAN COACH,AMERICAN TRADITION,1,1,11,9.1
AMERICAN IRONHORSE,LEGEND,1,1,10,10.0
AMERICAN IRONHORSE,LSC,1,1,2,50.0
AMERICAN IRONHORSE,TEXAS CHOPPER,1,1,22,4.5
AMERICAN IRONHORSE,THUNDER,1,1,1,100.0
AMERICAN MOTORS,EAGLE,1,1,12,8.3
AMERICAN VAN,FORD F150,1,1,12,8.3
AMERITRANS,RAM CHASSIS 5500,1,1,3,33.3
APRILIA,CAPONORD 1200,1,0,1,100.0
APRILIA,FALCO,1,0,5,20.0
APRILIA,RS 660,1,1,8,12.5
APRILIA,RSV 1000,1,1,8,12.5
ASTON MARTIN,V8 VANTAGE S,1,0,13,7.7
AUDI,90,1,1,96,1.0
AUDI,A6 SPORTBACK E-TRON,1,0,4,25.0
AUDI,CABRIOLET,1,1,40,2.5
AUDI,FOX,1,0,7,14.3
AUDI,Q4 SPORTBACK E-TRON,1,0,10,10.0
AUDI,RS 7,1,0,21,4.8
AUDI,SQ6 E-TRON,1,0,14,7.1
AUDI,TT ROADSTER,1,1,11,9.1
AUTOCAR,XPEDITOR,1,0,7,14.3
BIG DOG,K-9,1,1,9,11.1
BIG DOG,MASTIFF,1,1,11,9.1
BIG DOG,RIDGEBACK,1,0,17,5.9
BIGDOG,CHOPPER,1,1,23,4.3
BIGDOG,MASTIFF,1,0,6,16.7
BISON,SILVERADO,1,0,1,100.0
BLUE BIRD,VISION SCHOOL BUS,1,1,4,25.0
BLUE BIRD,WANDERLODGE M450 LXI,1,0,17,5.9
BMS,SPORT FLASH 150,1,0,4,25.0
BMW,230I,1,0,36,2.8
BMW,318IA,1,1,5,20.0
BMW,320XI,1,1,9,11.1
BMW,428XI,1,0,10,10.0
BMW,5-SERIES GRAN TURISMO,1,0,13,7.7
BMW,525IA,1,1,18,5.6
BMW,525IA SPORT WAGON,1,1,8,12.5
BMW,525XI,1,1,67,1.5
BMW,528IA,1,1,11,9.1
BMW,540IAT,1,0,5,20.0
BMW,640XI,1,1,10,10.0
BMW,740E,1,0,2,50.0
BMW,740I US,1,1,4,25.0
BMW,750E,1,0,3,33.3
BMW,750IL,1,1,31,3.2
BMW,850,1,1,18,5.6
BMW,ACTIVE HYBRID 3,1,0,16,6.2
BMW,ACTIVE HYBRID 5,1,0,5,20.0
BMW,ACTIVE HYBRID 7,1,1,3,33.3
BMW,F 850 GS,1,1,4,25.0
BMW,F800 GT,1,0,7,14.3
BMW,F850GS,1,1,1,100.0
BMW,G 650 GS,1,0,11,9.1
BMW,G310R,1,1,7,14.3
BMW,I4 M60,1,0,3,33.3
BMW,I7,1,1,50,2.0
BMW,K 1200 S,1,1,7,14.3
BMW,K 1300 GT,1,1,14,7.1
BMW,K 1600 B,1,0,29,3.4
BMW,K1200 LT,1,0,22,4.5
BMW,M COUPE,1,0,30,3.3
BMW,M2,1,0,34,2.9
BMW,M850I,1,0,2,50.0
BMW,R 1150 R,1,1,8,12.5
BMW,R 1200 RT (AUTHORITY),1,0,1,100.0
BMW,R 1250 RT,1,0,29,3.4
BMW,R 1300 GS,1,1,3,33.3
BMW,R NINE T,1,1,3,33.3
BMW,R1100 R,1,0,3,33.3
BMW,R1100S,1,1,3,33.3
BMW,R1150,1,0,1,100.0
BMW,R1150 R,1,1,9,11.1
BMW,R1150RA,1,1,5,20.0
BMW,R1150RT,1,1,4,25.0
BMW,X6 ACTIVEHYBRID SAC,1,0,3,33.3
BMW,XM,1,1,20,5.0
BMW,Z3 COUPE,1,1,5,20.0
BOATMATE,BOAT TRAILER,1,0,4,25.0
BOMBARDIER,NEIGHBORHOOD,1,1,1,100.0
BOOM,BD125-15,1,1,4,25.0
BRAMMO,EMPULSE R,1,0,3,33.3
BRAUN,RAMPVAN,1,1,4,25.0
BRIDGESTONE,TURANZA ER 30,1,0,9,11.1
BUELL,S1 WHITE LIGHTNING,1,1,4,25.0
BUELL,S3,1,1,16,6.2
BUELL,XB12X,1,0,19,5.3
BUICK,BUICK TRUCK,1,1,13,7.7
BUICK,ESTATE,1,1,7,14.3
BUICK,REGAL TOURX,1,1,26,3.8
BUICK,SKYHAWK,1,1,16,6.2
CADILLAC,ATS-V,1,1,6,16.7
CADILLAC,CADILLAC TRUCK,1,0,3,33.3
CADILLAC,ESCALADE EXT 1500,1,0,11,9.1
CADILLAC,ESCALADE HYBRID,1,0,34,2.9
CADILLAC,ESCALADE IQL,1,0,7,14.3
CADILLAC,ESCALADE NA,1,1,24,4.2
CADILLAC,OPTIQ,1,0,24,4.2
CADILLAC,SIXTY SPECIAL,1,1,4,25.0
CADILLAC,VISTIQ,1,0,28,3.6
CAN-AM,SPYDER ST,1,1,36,2.8
CARPENTER,CARPENTER,1,1,94,1.1
CATERPILLAR,3406E,1,1,4,25.0
CFMOTO,450SS,1,1,6,16.7
CFMOTO,650NK,1,1,3,33.3
CFMOTO,700CL-X,1,0,1,100.0
CFMOTO,800NK,1,0,7,14.3
CHAMPION BUS,CHALLENGER,1,0,5,20.0
CHEVROLET,3500 SERIES,1,1,24,4.2
CHEVROLET,3500HD,1,1,4,25.0
CHEVROLET,5500HD,1,1,8,12.5
CHEVROLET,APV,1,1,7,14.3
CHEVROLET,AVALANCHE 2500,1,1,102,1.0
CHEVROLET,C SERIES (LIGHT),1,1,3,33.3
CHEVROLET,C SERIES(MEDIUM),1,1,16,6.2
CHEVROLET,C/K 1500,1,1,3,33.3
CHEVROLET,C3,1,1,2,50.0
CHEVROLET,C30,1,0,55,1.8
CHEVROLET,C5500,1,1,29,3.4
CHEVROLET,CHEVEROLET SS,1,0,123,0.8
CHEVROLET,CONVENTIONAL,1,1,53,1.9
CHEVROLET,CORVETTE CONVERTIBLE E-RAY,1,0,3,33.3
CHEVROLET,ENVOY,1,0,28,3.6
CHEVROLET,EXPRESS 4500,1,1,14,7.1
CHEVROLET,G VAN BUS,1,0,2,50.0
CHEVROLET,G1500,1,1,9,11.1
CHEVROLET,G2500,1,0,5,20.0
CHEVROLET,K PICKUP,1,1,1,100.0
CHEVROLET,K SERIES,1,1,23,4.3
CHEVROLET,KODIAK,1,0,38,2.6
CHEVROLET,L SERIES,1,1,8,12.5
CHEVROLET,MEDIUM DUTY,1,1,1,100.0
CHEVROLET,N300,1,1,12,8.3
CHEVROLET,OPTRA,1,1,13,7.7
CHEVROLET,P1500,1,1,2,50.0
CHEVROLET,SILVERADO 2500 HD,1,0,26,3.8
CHEVROLET,SILVERADO 3500 HD,1,1,9,11.1
CHEVROLET,SILVERADO 4500,1,0,6,16.7
CHEVROLET,SPRINT,1,1,10,10.0
CHEVROLET,T SERIES,1,0,6,16.7
CHEVROLET,T UTILITY,1,1,4,25.0
CHEVROLET,T-SERIES,1,1,3,33.3
CHEVROLET,T8500,1,0,2,50.0
CHEVROLET,YUKON,1,1,59,1.7
CHRYSLER,CROSSFIRE ROADSTER,1,1,249,0.4
CHRYSLER,LANDAU SALON,1,1,2,50.0
CHRYSLER,LEBARON COUPE,1,1,6,16.7
CHRYSLER,POWER TRAIN,1,1,41,2.4
CLASSIC WELDING,CLASSIC WELDING,1,1,3,33.3
CLUB CAR,CARRYALL 2 LSV,1,1,2,50.0
COACHMEN,AURORA - MH,1,1,1,100.0
COACHMEN,CATALINA,1,1,48,2.1
COACHMEN,NOVA,1,0,14,7.1
COACHMEN,PATHFINDER,1,1,7,14.3
COACHMEN,PRISM,1,0,19,5.3
COBRA,COBRA,1,1,30,3.3
COLUMBIA,SUMMIT,1,0,3,33.3
CONTINENTAL,CONTINENTAL,1,1,420,0.2
CONTINENTAL CARGO,CONTINENTAL CARGO,1,0,2,50.0
COOPER,COOPER,1,1,199,0.5
COSCO,TOURIVA,1,0,75,1.3
COUNTRY COACH,INTRIGUE,1,1,31,3.2
COUNTRY COACH,MAGNA,1,1,17,5.9
CRUISER RV,SHADOW CRUISER,1,1,19,5.3
CRUISER RV,SHADOW CRUISER ULTRA LITE,1,0,2,50.0
DAEWOO,DAEWOO,1,1,29,3.4
DAEWOO PUERTO RICO,LEGANZA,1,1,85,1.2
DAEWOO PUERTO RICO,NUBIRA,1,0,95,1.1
DAIHATSU,CHARADE,1,1,12,8.3
DAMON,CHALLENGER,1,1,57,1.8
DAMON,INTRUDER,1,1,47,2.1
DATSUN,DATSUN,1,1,14,7.1
DELCO,DELCO,1,0,109,0.9
DETROIT CHASSIS,FORD MOTORHOME CHASSIS,1,0,5,20.0
DIAMOND COACH,E350,1,0,4,25.0
DODGE,BR SERIES,1,1,12,8.3
DODGE,C BODY,1,1,338,0.3
DODGE,CHARGER POLICE,1,0,38,2.6
DODGE,D SERIES(LIGHT),1,1,23,4.3
DODGE,DIPLOMAT,1,1,9,11.1
DODGE,DODGE TRUCK OR VAN,1,1,10,10.0
DODGE,MAGNUM AWD,1,1,2,50.0
DODGE,RAMCHARGER,1,0,30,3.3
DODGE,SHADOW CONVERTIBLE,1,1,2,50.0
DODGE,W100,1,1,6,16.7
DODGE,W250,1,1,34,2.9
DODGE,WAGON,1,0,11,9.1
DOLPHIN,MOTOR HOME,1,1,17,5.9
DUCATI,1098,1,1,19,5.3
DUCATI,1098S,1,1,5,20.0
DUCATI,1198,1,1,8,12.5
DUCATI,1299,1,0,1,100.0
DUCATI,748,1,1,15,6.7
DUCATI,899 PANIGALE,1,1,1,100.0
DUCATI,900S,1,1,10,10.0
DUCATI,900SS,1,1,1,100.0
DUCATI,DIAVEL,1,0,30,3.3
DUCATI,DUCATI,1,1,38,2.6
DUCATI,HYM1100S,1,1,1,100.0
DUCATI,MONSTER 696,1,1,26,3.8
DUCATI,MULTISTRADA 1200 ABS,1,1,21,4.8
DUCATI,PANIGALE,1,1,8,12.5
DUCATI,PANIGALE V2,1,1,1,100.0
DUCATI,PANIGALE V4 S,1,0,6,16.7
DUCATI,SCRAMBLER,1,1,20,5.0
DUCATI,STREETFIGHTER,1,0,2,50.0
DUCATI,SUPERSPORT,1,1,24,4.2
DUCATI,XDIAVEL,1,0,5,20.0
DUNLOP,DUNLOP,1,1,294,0.3
DUTCH,DUTCH,1,1,28,3.6
DUTCHMEN,GRAND JUNCTION,1,0,15,6.7
DUTCHMEN,KODIAK,1,0,7,14.3
DYNAMAX,EUROPA,1,1,5,20.0
DYNAMAX,REV,1,1,3,33.3
EAGLE,MEDALLION,1,0,15,6.7
EARTHROAMER,LTI,1,0,1,100.0
EATON,EATON,1,1,2,50.0
EATON,FR 10-SPEED TRANSMISSION,1,1,1,100.0
EL DORADO,EL DORADO,1,0,9,11.1
ENERGICA,EVA RIBELLE,1,0,3,33.3
ENTEGRA,ASPIRE,1,0,48,2.1
EXECUTIVE COACH,LINCOLN TOWN CAR,1,1,4,25.0
EXPLORER,EXPLORER,1,1,19,5.3
EXPLORER VAN,FORD EXPLORER,1,1,17,5.9
FERRARI,F430,1,1,7,14.3
FIRESTONE,FIREHAWK GTX,1,1,22,4.5
FIRESTONE,FORCE 4 ALL TERRAIN,1,1,3,33.3
FIRESTONE,RADIAL ATX,1,1,158,0.6
FIRESTONE,WILDERNESS HT,1,0,333,0.3
FIRESTONE,WILDERNESS LE,1,0,117,0.9
FLEETWOOD,AMERICAN DREAM,1,1,22,4.5
FLEETWOOD,BOUNDER CLASSIC,1,0,2,50.0
FLEETWOOD,CORONADO,1,0,6,16.7
FLEETWOOD,DISCOVERY,1,0,151,0.7
FLEETWOOD,FLEETWOOD,1,0,89,1.1
FLEETWOOD,JAMBOREE,1,0,77,1.3
FLEETWOOD,PACEARROW,1,1,49,2.0
FLXIBLE,METRO,1,1,10,10.0
FORD,10R80 REMAN TRANSMISSION,1,1,1,100.0
FORD,AIR BAG SWITCH,1,1,236,0.4
FORD,B700,1,1,10,10.0
FORD,CVPI,1,1,153,0.7
FORD,E-550,1,1,11,9.1
FORD,ENGINE & ENGINE COOLING,1,1,22,4.5
FORD,EXP,1,0,15,6.7
FORD,F SERIES (MEDIUM),1,0,21,4.8
FORD,F-350 SUPER DUTY,1,0,23,4.3
FORD,F-600 SD,1,1,12,8.3
FORD,F-750,1,1,12,8.3
FORD,F450 SUPER DUTY,1,1,2,50.0
FORD,F460,1,1,2,50.0
FORD,FORD TRUCK AND VAN,1,1,15,6.7
FORD,GRANADA,1,1,3,33.3
FORD,LCF,1,1,4,25.0
FORD,SQUIRE,1,1,9,11.1
FORD,SUPERCREW,1,0,41,2.4
FORD,TOPAZ,1,1,19,5.3
FORD,UNKNOWN,1,1,13,7.7
FORD,UTILITY VAN XH,1,1,8,12.5
FORD,XL,1,1,9,11.1
FOREST RIVER,CHEROKEE,1,1,198,0.5
FOREST RIVER,COACHMEN,1,0,18,5.6
FOREST RIVER,ROCKWOOD,1,1,161,0.6
FOREST RIVER,SANDSTORM,1,0,13,7.7
FOREST RIVER,SOLERA,1,1,14,7.1
FOREST RIVER,SUNSEEKER,1,1,51,2.0
FOREST RIVER,WILDCAT,1,0,72,1.4
FOREST RIVER,WINDSONG,1,0,14,7.1
FOREST RIVER,XLR TOYHAULER,1,0,39,2.6
FOUR WINDS,INFINITY,1,1,17,5.9
FREIGHTLINER,114SD,1,0,8,12.5
FREIGHTLINER,CENTURY CLASS,1,1,16,6.2
FREIGHTLINER,COLUMBIA,1,1,110,0.9
FREIGHTLINER,FLD120,1,1,32,3.1
FREIGHTLINER,SPRINTER,1,1,18,5.6
FREIGHTLINER,XC,1,1,13,7.7
GENERAL,AMERI M/S TIRE,1,1,10,10.0
GENUINE SCOOTER,STELLA,1,1,6,16.7
GEORGIE BOY,LANDAU,1,1,23,4.3
GLAVAL,FORD E150,1,1,2,50.0
GMC,7000,1,0,14,7.1
GMC,BLAZER,1,1,19,5.3
GMC,C/K PICKUP,1,1,71,1.4
GMC,C/K SERIES,1,1,24,4.2
GMC,C6500,1,1,5,20.0
GMC,ENVOY XL 370,1,1,161,0.6
GMC,G20,1,1,5,20.0
GMC,G3500,1,0,6,16.7
GMC,HUMMER EV SUV,1,0,28,3.6
GMC,JIMMY S15,1,0,16,6.2
GMC,K15,1,1,24,4.2
GMC,P3500,1,1,1,100.0
GMC,PREVIEW,1,1,8,12.5
GMC,S15,1,0,71,1.4
GMC,SAVANA 3500,1,1,35,2.9
GMC,SILVERADO,1,1,73,1.4
GMC,SYCLONE,1,1,8,12.5
GMC,T6500,1,1,3,33.3
GMC,TYPHOON,1,1,13,7.7
GMC,W4,1,1,2,50.0
GMC,W5500HD,1,0,1,100.0
GOODYEAR,CONQUEST,1,1,59,1.7
GOODYEAR,EAGLE GA,1,1,40,2.5
GOODYEAR,INVECTA,1,1,14,7.1
GOODYEAR,INVICTA,1,1,34,2.9
GOODYEAR,WRANGLER RTS,1,0,148,0.7
GOODYEAR,WRANGLER ST,1,1,114,0.9
GRAND DESIGN,MOMENTUM,1,0,362,0.3
GULF STREAM,SCENIC CRUISER,1,1,13,7.7
GULF STREAM,SUN VOYAGER,1,0,58,1.7
GULF TOYOTA,RAV4,1,1,2,50.0
GULF TOYOTA,TACOMA,1,1,3,33.3
HANKOOK,HANKOOK,1,1,184,0.5
HARLEY-DAVIDSON,1200,1,1,24,4.2
HARLEY-DAVIDSON,DYNA GLIDE,1,1,11,9.1
HARLEY-DAVIDSON,DYNA LOW RIDER,1,0,2,50.0
HARLEY-DAVIDSON,FLFBS,1,1,4,25.0
HARLEY-DAVIDSON,FLHCS,1,1,16,6.2
HARLEY-DAVIDSON,FLHRCI,1,1,29,3.4
HARLEY-DAVIDSON,FLHRSE,1,1,4,25.0
HARLEY-DAVIDSON,FLHRSI,1,1,5,20.0
HARLEY-DAVIDSON,FLHS SERIES,1,0,4,25.0
HARLEY-DAVIDSON,FLHTCI,1,1,32,3.1
HARLEY-DAVIDSON,FLHTCUH,1,1,4,25.0
HARLEY-DAVIDSON,FLHTCUL,1,1,3,33.3
HARLEY-DAVIDSON,FLHTCUSE4,1,0,8,12.5
HARLEY-DAVIDSON,FLHTCUSE5,1,1,10,10.0
HARLEY-DAVIDSON,FLHTCUSE7,1,1,4,25.0
HARLEY-DAVIDSON,FLHTI,1,1,5,20.0
HARLEY-DAVIDSON,FLHTP,1,1,14,7.1
HARLEY-DAVIDSON,FLHXI,1,1,8,12.5
HARLEY-DAVIDSON,FLSS,1,1,3,33.3
HARLEY-DAVIDSON,FLST SOFTAIL,1,0,1,100.0
HARLEY-DAVIDSON,FLSTFB,1,1,13,7.7
HARLEY-DAVIDSON,FLSTFBS,1,1,3,33.3
HARLEY-DAVIDSON,FLT,1,1,4,25.0
HARLEY-DAVIDSON,FLTRI,1,1,16,6.2
HARLEY-DAVIDSON,FLTRK,1,1,7,14.3
HARLEY-DAVIDSON,FLTRKSE,1,0,3,33.3
HARLEY-DAVIDSON,FLTRKSE ANV,1,1,2,50.0
HARLEY-DAVIDSON,FLTRT,1,0,10,10.0
HARLEY-DAVIDSON,FLTRXSE,1,0,9,11.1
HARLEY-DAVIDSON,FXDB,1,1,38,2.6
HARLEY-DAVIDSON,FXDCI,1,0,4,25.0
HARLEY-DAVIDSON,FXDLI,1,0,12,8.3
HARLEY-DAVIDSON,FXDLS,1,1,9,11.1
HARLEY-DAVIDSON,FXR,1,1,4,25.0
HARLEY-DAVIDSON,FXSB,1,0,8,12.5
HARLEY-DAVIDSON,FXSE,1,0,1,100.0
HARLEY-DAVIDSON,FXST,1,1,18,5.6
HARLEY-DAVIDSON,FXSTC,1,1,15,6.7
HARLEY-DAVIDSON,FXSTDI,1,0,1,100.0
HARLEY-DAVIDSON,FXSTSSE3,1,1,2,50.0
HARLEY-DAVIDSON,HARLEY-DAVIDSON,1,1,9,11.1
HARLEY-DAVIDSON,RA1250SE,1,1,2,50.0
HARLEY-DAVIDSON,RH1250S,1,1,18,5.6
HARLEY-DAVIDSON,RH975S,1,1,6,16.7
HARLEY-DAVIDSON,SUPER GLIDE,1,1,2,50.0
HARLEY-DAVIDSON,TOURING,1,1,25,4.0
HARLEY-DAVIDSON,ULTRA CLASSIC,1,1,36,2.8
HARLEY-DAVIDSON,VRSCDX,1,1,62,1.6
HARLEY-DAVIDSON,VRSCF,1,0,40,2.5
HARLEY-DAVIDSON,XL SPORTSTER,1,1,4,25.0
HARLEY-DAVIDSON,XL1200L,1,1,9,11.1
HARLEY-DAVIDSON,XL1200N,1,1,2,50.0
HARLEY-DAVIDSON,XL1200V,1,1,2,50.0
HARLEY-DAVIDSON,XL883C,1,1,13,7.7
HARLEY-DAVIDSON,XL883N,1,1,10,10.0
HARLEY-DAVIDSON,XL883R,1,1,5,20.0
HARLEY-DAVIDSON,XLH SERIES,1,0,5,20.0
HINO,165,1,1,1,100.0
HINO,FB4J,1,1,3,33.3
HINO,NV8J,1,1,2,50.0
HME,RAM 5500,1,1,2,50.0
HOLIDAY RAMBLER,ADMIRAL,1,1,17,5.9
HOLIDAY RAMBLER,ENDEAVOR,1,0,106,0.9
HOLIDAY RAMBLER,IMPERIAL,1,1,29,3.4
HOME AND PARK,ROADTREK,1,1,27,3.7
HONDA,C SERIES,1,1,4,25.0
HONDA,CB1000SP,1,1,2,50.0
HONDA,CB500,1,1,4,25.0
HONDA,CB650,1,0,3,33.3
HONDA,CB900F,1,1,9,11.1
HONDA,CBF300,1,1,2,50.0
HONDA,CBR250R,1,1,31,3.2
HONDA,CBR600,1,1,15,6.7
HONDA,CBR600F4,1,1,7,14.3
HONDA,CBR900,1,1,10,10.0
HONDA,CBR929RR,1,1,11,9.1
HONDA,CIVIC HATCHBACK,1,1,37,2.7
HONDA,CLARITY,1,0,8,12.5
HONDA,CMX1100,1,1,12,8.3
