make,model,suspension_complaints,total_complaints,suspension_share_pct,meets_500_threshold,suspension_model_years,note
HARLEY-DAVIDSON,FXBBS,1,11,9.09,no,2022-2022,
HARLEY-DAVIDSON,FXD,1,6,16.67,no,2007-2007,
HARLEY-DAVIDSON,FXDB,1,9,11.11,no,2015-2015,
HARLEY-DAVIDSON,FXDLS,1,9,11.11,no,2016-2016,
HARLEY-DAVIDSON,FXDWG,1,11,9.09,no,2002-2002,
HARLEY-DAVIDSON,FXDWGI,1,2,50.0,no,2006-2006,
HARLEY-DAVIDSON,VRSCAW,1,6,16.67,no,2008-2008,
HAUL MASTER,UTILITY TRAILER,1,13,7.69,no,2015-2015,
HAULMARK,EDGE PRO,1,3,33.33,no,2016-2016,
HAULMARK,HAULMARK TRAILER,1,1,100.0,no,2018-2018,
HAWK,NA,1,2,50.0,no,2008-2008,
HEARTLAND,BIG COUNTRY,1,6,16.67,no,2015-2015,
HEARTLAND,LANDMARK 365,1,1,100.0,no,2017-2017,
HEARTLAND,SUNDANCE,1,8,12.5,no,2015-2015,
HEARTLAND,TORQUE,1,3,33.33,no,2018-2018,
HEARTLAND,TRAIL RUNNER,1,10,10.0,no,2019-2019,
HEARTLAND,WILDERNESS,1,9,11.11,no,2019-2019,
HIGHLAND RIDGE TT,ULTRA LITE,1,1,100.0,no,2019-2019,
HINO,195,1,5,20.0,no,2020-2020,
HOLIDAY HOUSE,24TB,1,2,50.0,no,2021-2021,
HOLIDAY RAMBLER,1908NEPTUNE,1,1,100.0,no,2005-2005,
HOLIDAY RAMBLER,ALUMASCAPE,1,5,20.0,no,2009-2009,
HOLIDAY RAMBLER,INVICTA,1,12,8.33,no,2026-2026,
HOLIDAY RAMBLER,NAUTICA,1,7,14.29,no,2023-2023,
HOLIDAY RAMBLER,VACATIONER XE,1,3,33.33,no,2017-2017,
HONDA,CB1000SP,1,2,50.0,no,2025-2025,
HONDA,CIVIC GX,1,16,6.25,no,2011-2011,
HONDA,CIVIC HATCHBACK,1,37,2.7,no,2024-2024,
HONDA,CR-Z,1,75,1.33,no,2011-2011,
HONDA,CRF1000D,1,13,7.69,no,2016-2016,
HONDA,GL1800A,1,18,5.56,no,2015-2015,
HONDA,PRELUDE,1,22,4.55,no,1998-1998,
HONDA,SXS700,1,4,25.0,no,2014-2014,
HONDA,VT750,1,12,8.33,no,2025-2025,
HONDA,VTX1800,1,8,12.5,no,2003-2003,
HUDSON TRAILER,HUDSON TRAILER,1,3,33.33,no,2020-2020,
HYUNDAI,IONIQ 6,1,186,0.54,no,2024-2024,
HYUNDAI,KONA N,1,22,4.55,no,2023-2023,
HYUNDAI,SANTA FE PLUG-IN HYBRID,1,79,1.27,no,2023-2023,
HYUNDAI,SONATA GLS,1,2,50.0,no,1999-1999,
HYUNDAI,TUCSON HYBRID,1,606,0.17,yes,2024-2024,
HYUNDAI,VERACRUZ,1,702,0.14,yes,2008-2008,
HYUNDAI TRANSLEAD,CHASSIS,1,1,100.0,no,2016-2016,
INDIAN,CHIEF VINTAGE,1,15,6.67,no,2015-2015,
INDIAN,PURSUIT,1,4,25.0,no,2022-2022,
INFINITI,I35,1,109,0.92,no,2002-2002,
INFINITI,M56,1,27,3.7,no,2011-2011,
INFINITI,Q60,1,113,0.88,no,2018-2018,
INFINITI,QX30,1,98,1.02,no,2017-2017,
INNOVATIVE SPECIALTIES,INNOVATIVE SPECIALTIES,1,1,100.0,no,2022-2022,
INTECH,CUSTOM TRAILER,1,5,20.0,no,2020-2020,
INTERNATIONAL,4000 SERIES 4300,1,4,25.0,no,2018-2018,
INTERNATIONAL,CV,1,6,16.67,no,2019-2019,
INTERNATIONAL,MV,1,9,11.11,no,2025-2025,
INTERSTATE WEST,INTERSTATE WEST,1,1,100.0,no,2024-2024,
IRONBULL,NORSTAR TRAILER,1,3,33.33,no,2018-2018,
IRONMAN 4X4,PRO FORGE,1,1,100.0,no,,
ISUZU,AMIGO,1,2,50.0,no,1999-1999,
ISUZU,RODEO SPORTS,1,3,33.33,no,2001-2001,
ISUZU,TROOPER,1,26,3.85,no,1996-1996,
ITASCA,SUNRISE,1,5,20.0,no,2007-2007,
JAGUAR,F-PACE,1,205,0.49,no,2017-2017,
JAYCO,ALANTE,1,26,3.85,no,2021-2021,
JAYCO,EAGLE,1,6,16.67,no,2014-2014,
JAYCO,EAGLE FW,1,2,50.0,no,2002-2002,
JAYCO,EMBARK,1,2,50.0,no,2017-2017,
JAYCO,JAY FLIGHT SWIFT SLX,1,1,100.0,no,2012-2012,
JAYCO,MELBOURNE CLASS C,1,9,11.11,no,2014-2014,
JAYCO,PINNACLE,1,7,14.29,no,2014-2014,
JAYCO,REDHAWK,1,17,5.88,no,2021-2021,
JAYCO,WHITE HAWK,1,5,20.0,no,2012-2012,
JAYCO FIFTH WHEEL,SEISMIC WAVE,1,1,100.0,no,2017-2017,
JAYCO TRAVEL TRAILER,EAGLE HT,1,1,100.0,no,2024-2024,
JAYCO TRAVEL TRAILER,JAY FEATHER,1,17,5.88,no,2022-2022,
JEEP,COMMANDER 4X2,1,65,1.54,no,2006-2006,
JEEP,COMMANDER 4X4,1,232,0.43,no,2007-2007,
JEEP,LAREDO,1,45,2.22,no,2003-2003,
JEEP,WAGONEER L,1,12,8.33,no,2024-2024,
JEEP,WRANGLER X RHD 4X4,1,6,16.67,no,2007-2007,
JEEP,WRANGLER YJ,1,5,20.0,no,1999-1999,
JIMING,JM300ZD,1,2,50.0,no,2024-2024,
JUST TRAILERS,JUST TRAILERS,1,1,100.0,no,2023-2023,
KARAVAN,BOAT TRAILER,1,14,7.14,no,2021-2021,
KARAVAN,KARAVAN TRAILER,1,2,50.0,no,2017-2017,
KARAVAN,KARAVAN TRAILERS,1,1,100.0,no,,
KAUFMAN,MINI CAR HAULER,1,2,50.0,no,2016-2016,
KAUFMAN,TRAILER,1,5,20.0,no,2018-2018,
KAUFMAN,WEDGE CAR HAULER,1,1,100.0,no,2016-2016,
KAWASAKI,KLR650,1,36,2.78,no,2023-2023,
KAWASAKI,NINJA,1,8,12.5,no,2021-2021,
KAWASAKI,ZX14,1,2,50.0,no,2006-2006,
KENDON,DUAL RAIL TRAILER,1,6,16.67,no,2009-2009,
KENWORTH,T370,1,4,25.0,no,2019-2019,
KENWORTH,T680,1,112,0.89,no,2023-2023,
KENWORTH,T800,1,7,14.29,no,2005-2005,
KEYSTONE,ATLAS,1,2,50.0,no,2020-2020,
KEYSTONE,CARBON,1,9,11.11,no,2021-2021,
KEYSTONE,LAREDO,1,10,10.0,no,2015-2015,
KEYSTONE,OUTBACK,1,26,3.85,no,2013-2013,
KEYSTONE,PASSPORT,1,9,11.11,no,2014-2014,
KEYSTONE,SPRINGDALE,1,15,6.67,no,2016-2016,
KEYSTONE,VOLTAGE,1,4,25.0,no,2020-2020,
KIA,BORREGO,1,82,1.22,no,2009-2009,
KIA,CARNIVAL,1,545,0.18,yes,2022-2022,
KIA,K4,1,101,0.99,no,2025-2025,
KIA,NIRO PHEV,1,96,1.04,no,2018-2018,
KIA,RIO CINCO,1,3,33.33,no,2004-2004,
KIA,SPORTAGE HYBRID,1,233,0.43,no,2024-2024,
KL MANUFACTURING,TRAILER,1,1,100.0,no,2022-2022,
KME,AERIALCAT,1,2,50.0,no,2014-2014,
KTM,1290 SUPER ADVENTURE R,1,7,14.29,no,2018-2018,
KTM,790 ADVENTURE,1,32,3.12,no,2020-2020,
KTM,790 ADVENTURE R,1,76,1.32,no,2019-2019,
KYMCO,SUPER 8-150 X,1,2,50.0,no,2015-2015,
KZRV,SPORTSMEN,1,9,11.11,no,2021-2021,
KZRV,SPORTSTER,1,2,50.0,no,2014-2014,
KZRV,SPORTTREK,1,9,11.11,no,2017-2017,
LANCE,1995,1,5,20.0,no,2016-2016,
LANCE CAMPER,LANCE CAMPER,1,10,10.0,no,2018-2018,
LARK,CARGO TRAILER VT508SA,1,1,100.0,no,2015-2015,
LEXUS,ES 350,1,95,1.05,no,2007-2007,
LEXUS,ES300,1,44,2.27,no,2000-2000,
LEXUS,ES330,1,81,1.23,no,2004-2004,
LEXUS,GS400,1,16,6.25,no,1998-1998,
LEXUS,GX 470,1,21,4.76,no,2004-2004,
LEXUS,IS 350,1,149,0.67,no,2016-2016,
LEXUS,IS200T,1,22,4.55,no,2017-2017,
LEXUS,LS HYBRID,1,7,14.29,no,2025-2025,
LEXUS,LS400,1,41,2.44,no,1990-1990,
LEXUS,LS460L,1,25,4.0,no,2010-2010,
LEXUS,LS600HL,1,5,20.0,no,2008-2008,
LEXUS,LX470,1,34,2.94,no,2000-2000,
LEXUS,NX200,1,20,5.0,no,2015-2015,
LEXUS,NX200T,1,43,2.33,no,2017-2017,
LEXUS,RC 350,1,21,4.76,no,2017-2017,
LEXUS,RX HYBRID,1,229,0.44,no,2006-2006,
LEXUS,RZ,1,36,2.78,no,2023-2023,
LEXUS,SC,1,13,7.69,no,2002-2002,
LEXUS,SC430,1,54,1.85,no,2005-2005,
LEXUS,TX,1,119,0.84,no,2025-2025,
LGS INDUSTRIES,LOOK,1,2,50.0,no,2020-2020,
LINCOLN,MKC,1,728,0.14,yes,2019-2019,
LINCOLN,ZEPHYR,1,229,0.44,no,2006-2006,
LIPPERT,COMPONENTS,1,5,20.0,no,,
LIVIN LITE,QUICKSILVER,1,3,33.33,no,2018-2018,
LIVIN' LITE,CAMPLITE,1,7,14.29,no,2017-2017,
LOAD RITE,LOAD RITE TRAILER,1,1,100.0,no,2020-2020,
LOAD TRAIL,LOAD TRAIL,1,5,20.0,no,2017-2017,
LUCID,GRAVITY,1,29,3.45,no,2026-2026,
MACK,ANTHEM (AN),1,15,6.67,no,2020-2020,
MACK,GRANITE (GU),1,3,33.33,no,2018-2018,
MASERATI,GRANSPORT,1,3,33.33,no,2006-2006,
MASERATI,GRANTURISMO,1,12,8.33,no,2024-2024,
MAXEY TRAILERS,MAXEY TRAILERS,1,2,50.0,no,2021-2021,
MAZDA,626,1,73,1.37,no,2001-2001,
MAZDA,CX-3,1,154,0.65,no,2018-2018,
MAZDA,CX-90 PLUG-IN HYBRID,1,184,0.54,no,2025-2025,
MAZDA,MAZDASPEED3,1,52,1.92,no,2010-2010,
MAZDA,MX-3,1,3,33.33,no,1993-1993,
MCKENZIE,LAKOTA,1,1,100.0,no,2002-2002,
MCLAREN,720S,1,2,50.0,no,2019-2019,
MERCEDES BENZ,380SL,1,2,50.0,no,1985-1985,
MERCEDES BENZ,C 300 4MATIC,1,17,5.88,no,2018-2018,
MERCEDES BENZ,C230K,1,3,33.33,no,1999-1999,
MERCEDES BENZ,CL55,1,6,16.67,no,2006-2006,
MERCEDES BENZ,CL55 AMG,1,4,25.0,no,2002-2002,
MERCEDES BENZ,CLK350,1,88,1.14,no,2006-2006,
MERCEDES BENZ,GL320,1,16,6.25,no,2007-2007,
MERCEDES BENZ,GL550,1,22,4.55,no,2008-2008,
MERCEDES BENZ,ML430,1,41,2.44,no,2000-2000,
MERCEDES BENZ,ML550,1,24,4.17,no,2008-2008,
MERCEDES BENZ,R320,1,12,8.33,no,2007-2007,
MERCEDES BENZ,S320,1,8,12.5,no,1995-1995,
MERCEDES BENZ,S55,1,9,11.11,no,2002-2002,
MERCEDES BENZ,SL500R,1,2,50.0,no,2003-2003,
MERCEDES BENZ,SL55,1,9,11.11,no,2007-2007,
MERCEDES BENZ,SL550,1,24,4.17,no,2007-2007,
MERCEDES BENZ,SPRINTER 2500,1,64,1.56,no,2015-2015,
MERCEDES-BENZ,380,1,3,33.33,no,1981-1981,
MERCEDES-BENZ,AMG E43,1,18,5.56,no,2017-2017,
MERCEDES-BENZ,AMG E55,1,63,1.59,no,2004-2004,
MERCEDES-BENZ,AMG GLC63,1,11,9.09,no,2021-2021,
MERCEDES-BENZ,AMG GLE43,1,52,1.92,no,2018-2018,
MERCEDES-BENZ,AMG GLE53,1,48,2.08,no,2022-2022,
MERCEDES-BENZ,AMG GLE63,1,14,7.14,no,2024-2024,
MERCEDES-BENZ,AMG GT,1,25,4.0,no,2019-2019,
MERCEDES-BENZ,AMG GT S,1,5,20.0,no,2016-2016,
MERCEDES-BENZ,B 250E,1,51,1.96,no,2017-2017,
MERCEDES-BENZ,C180,1,8,12.5,no,2011-2011,
MERCEDES-BENZ,C204.9,1,25,4.0,no,2011-2011,
MERCEDES-BENZ,C220,1,4,25.0,no,2015-2015,
MERCEDES-BENZ,C350E,1,19,5.26,no,2017-2017,
MERCEDES-BENZ,C400,1,13,7.69,no,2015-2015,
MERCEDES-BENZ,E 300,1,85,1.18,no,2018-2018,
MERCEDES-BENZ,E 350,1,65,1.54,no,2024-2024,
MERCEDES-BENZ,E 350 4MATIC,1,20,5.0,no,2025-2025,
MERCEDES-BENZ,E400,1,80,1.25,no,2016-2016,
MERCEDES-BENZ,EQS 450+,1,42,2.38,no,2023-2023,
MERCEDES-BENZ,GLB 250 4MATIC,1,18,5.56,no,2020-2020,
