make,model,suspension_complaints,total_complaints,suspension_share_pct,meets_500_threshold,suspension_model_years,note
MAZDA,CX-9,140,1564,8.95,yes,2007-2021,
MITSUBISHI,OUTLANDER,140,1541,9.09,yes,2003-2024,
RAM,2500,137,7381,1.86,yes,2009-2025,
FORD,TAURUS,124,2968,4.18,yes,1989-2019,
NISSAN,ROGUE,122,9659,1.26,yes,2008-2024,
CHEVROLET,IMPALA,119,6091,1.95,yes,2000-2019,
RAM,3500,119,3306,3.6,yes,2008-2025,
CHEVROLET,TAHOE,116,6908,1.68,yes,1997-2021,
TOYOTA,SEQUOIA,112,1668,6.71,yes,2001-2021,
FORD,FOCUS,110,16155,0.68,yes,2000-2018,
BUICK,LACROSSE,109,1911,5.7,yes,2005-2017,
HONDA,ODYSSEY,106,9352,1.13,yes,1998-2025,
MERCEDES-BENZ,E350,106,2012,5.27,yes,2003-2016,
JEEP,GLADIATOR,105,1397,7.52,yes,2020-2025,
FORD,FLEX,103,2217,4.65,yes,2009-2019,
TOYOTA,FJ CRUISER,103,657,15.68,yes,2007-2014,
DODGE,DURANGO,102,7322,1.39,yes,1998-2026,
HONDA,ELEMENT,101,605,16.69,yes,2003-2011,
SUBARU,OUTBACK,101,9923,1.02,yes,1999-2025,
VOLKSWAGEN,JETTA,100,5791,1.73,yes,2001-2024,
CHRYSLER,200,99,6435,1.54,yes,2011-2016,
KIA,SEDONA,99,1783,5.55,yes,2005-2018,
NISSAN,MAXIMA,94,2246,4.19,yes,2000-2018,
FORD,EDGE,91,15894,0.57,yes,2007-2022,
DODGE,RAM 3500,90,1247,7.22,yes,1995-2012,
CHEVROLET,TRAX,89,1450,6.14,yes,2015-2025,
FORD,EXPEDITION,88,4670,1.88,yes,1997-2026,
CHEVROLET,EQUINOX,84,9517,0.88,yes,2005-2026,
KIA,OPTIMA,83,8537,0.97,yes,2001-2019,
CHONGQING HUANSONG,750,81,83,97.59,no,2015-2016,
CHEVROLET,TRAVERSE,77,6904,1.12,yes,2009-2024,
LAND ROVER,RANGE ROVER,77,722,10.66,yes,2002-2023,
DODGE,CHARGER,76,5409,1.41,yes,2006-2023,
NISSAN,SENTRA,75,5025,1.49,yes,2003-2026,
TOYOTA,SIENNA,73,4048,1.8,yes,1998-2018,
KIA,TELLURIDE,71,2631,2.7,yes,2020-2025,
TOYOTA,COROLLA,71,7694,0.92,yes,1996-2026,
FORD,BRONCO,70,1279,5.47,yes,2021-2025,
CHEVROLET,SUBURBAN,68,3465,1.96,yes,1999-2023,
FORD,MUSTANG,67,5593,1.2,yes,1998-2024,
ACURA,MDX,66,3509,1.88,yes,2001-2025,
HYUNDAI,TUCSON,65,8094,0.8,yes,2005-2025,
SUBARU,IMPREZA,65,2149,3.02,yes,2002-2024,
AUDI,Q7,64,1304,4.91,yes,2012-2021,
CHEVROLET,COLORADO,63,3651,1.73,yes,2004-2026,
GMC,YUKON,63,4354,1.45,yes,2003-2022,
GMC,ACADIA,62,6021,1.03,yes,2007-2024,
LAND ROVER,RANGE ROVER SPORT,60,826,7.26,yes,2006-2023,
CADILLAC,CTS,59,1463,4.03,yes,2004-2019,
AUDI,Q5,58,1796,3.23,yes,2009-2019,
DODGE,JOURNEY,58,6516,0.89,yes,2009-2020,
MITSUBISHI,LANCER,58,489,11.86,no,2002-2015,
GRAND DESIGN,MOMENTUM,55,366,15.03,no,2015-2025,
BMW,X5,54,3632,1.49,yes,2000-2023,
CADILLAC,ESCALADE,52,1752,2.97,yes,2002-2025,
DODGE,STRATUS,52,200,26.0,no,1998-2006,
MERCEDES-BENZ,E550,51,205,24.88,no,2010-2013,
UNKNOWN,UNKNOWN,51,2751,1.85,yes,,
KIA,SOUL,49,7196,0.68,yes,2010-2025,
MERCEDES BENZ,C300,49,1289,3.8,yes,2008-2009,
JEEP,GRAND CHEROKEE L,48,556,8.63,yes,2021-2025,
CHRYSLER,300,47,4498,1.04,yes,2005-2018,
DODGE,GRAND CARAVAN,47,8603,0.55,yes,1996-2018,
NISSAN,ARMADA,47,1263,3.72,yes,2004-2025,
TOYOTA,HIGHLANDER,47,4902,0.96,yes,2003-2024,
CHRYSLER,TOWN AND COUNTRY,45,9611,0.47,yes,1994-2016,
SUBARU,LEGACY,45,2092,2.15,yes,1995-2021,
VOLKSWAGEN,PASSAT,45,4387,1.03,yes,2002-2018,
CADILLAC,XTS,40,280,14.29,no,2013-2017,
DODGE,DART,40,3430,1.17,yes,2012-2016,
JEEP,COMPASS 4X4,40,167,23.95,no,2007-2009,
LINCOLN,NAVIGATOR,40,733,5.46,yes,1998-2024,
CHRYSLER,SEBRING,39,749,5.21,yes,1997-2008,
ACURA,TL,38,1515,2.51,yes,2002-2013,
GMC,YUKON XL,38,2545,1.49,yes,2003-2024,
MERCEDES BENZ,SL500,38,154,24.68,no,2003-2006,
TOYOTA,PRIUS,38,5828,0.65,yes,2006-2024,
DODGE,DAKOTA,37,982,3.77,yes,1998-2011,
FORD,BRONCO SPORT,37,1994,1.86,yes,2021-2025,
MAZDA,MAZDA3,37,2478,1.49,yes,2004-2025,
GRAND DESIGN,SOLITUDE,36,246,14.63,no,2015-2024,
DODGE,CHALLENGER,35,1928,1.82,yes,2010-2021,
FORD,FIESTA,35,3427,1.02,yes,2011-2018,
VOLKSWAGEN,TIGUAN,35,3170,1.1,yes,2010-2025,
ACURA,RDX,34,2563,1.33,yes,2007-2021,
BUICK,ENCLAVE,34,2515,1.35,yes,2008-2020,
ISUZU,RODEO,34,128,26.56,no,1992-2004,
HYUNDAI,ACCENT,33,1234,2.67,yes,1995-2022,
PONTIAC,G6,33,3330,0.99,yes,2005-2010,
LINCOLN,TOWN CAR,32,432,7.41,no,1996-2008,
MAZDA,CX-5,32,3083,1.04,yes,2013-2024,
HUMMER,H3,31,613,5.06,yes,2006-2009,
INFINITI,QX4,31,104,29.81,no,1997-2003,
KIA,FORTE,31,3373,0.92,yes,2010-2024,
CHEVROLET,COBALT,30,2981,1.01,yes,2005-2010,
HYUNDAI,ENTOURAGE,30,193,15.54,no,2007-2008,
MERCEDES BENZ,E500,30,227,13.22,no,2003-2006,
NISSAN,TITAN,30,1384,2.17,yes,2004-2023,
TOYOTA,YARIS,30,599,5.01,yes,2007-2019,
KIA,SPORTAGE,29,3782,0.77,yes,2002-2025,
MERCEDES-BENZ,GL450,29,262,11.07,no,2010-2016,
NISSAN,FRONTIER,29,1955,1.48,yes,2001-2024,
VOLKSWAGEN,ATLAS,29,3014,0.96,yes,2018-2025,
FORD,MAVERICK HYBRID,28,1416,1.98,yes,2022-2025,
GRAND DESIGN,REFLECTION,28,207,13.53,no,2015-2024,
JEEP,RENEGADE,28,3493,0.8,yes,2015-2020,
JEEP,WRANGLER 4-DR 4X4,28,400,7.0,no,2007-2009,
LEXUS,HS 250 HYBRID,28,91,30.77,no,2010-2011,
NISSAN,XTERRA,28,1212,2.31,yes,2001-2015,
VOLKSWAGEN,GOLF SPORTWAGEN,28,247,11.34,no,2015-2019,
DODGE,AVENGER,27,2787,0.97,yes,1996-2014,
GMC,TERRAIN,27,4051,0.67,yes,2011-2026,
ACURA,TLX,26,1330,1.95,yes,2015-2023,
BUICK,REGAL,26,1334,1.95,yes,1999-2019,
CHEVROLET,CORVETTE,26,2941,0.88,yes,1981-2023,
LINCOLN,LS,26,159,16.35,no,2000-2006,
MERCURY,SABLE,26,244,10.66,no,1996-2009,
SATURN,VUE,26,1005,2.59,yes,2003-2009,
VOLKSWAGEN,GOLF,26,957,2.72,yes,2011-2019,
CHEVROLET,CRUZE,25,4598,0.54,yes,2011-2018,
CHEVROLET,TRAILBLAZER,25,2132,1.17,yes,2002-2022,
HONDA,RIDGELINE,25,2448,1.02,yes,2006-2023,
INFINITI,QX56,25,414,6.04,no,2004-2013,
CHEVROLET,SILVERADO 2500,24,2394,1.0,yes,2001-2023,
MERCEDES-BENZ,GLK350,24,991,2.42,yes,2010-2014,
VOLKSWAGEN,JETTA SPORTWAGEN,24,234,10.26,no,2010-2014,
CHEVROLET,SILVERADO,23,924,2.49,yes,1992-2017,
FIAT,500,23,975,2.36,yes,2012-2016,
FORD,TRANSIT,23,1070,2.15,yes,2015-2026,
FOREST RIVER,CHEROKEE,23,187,12.3,no,2010-2022,
GMC,CANYON,23,1629,1.41,yes,2004-2024,
HYUNDAI,AZERA,23,591,3.89,yes,2006-2015,
CAN-AM,RYKER,22,239,9.21,no,2019-2023,
HONDA,PASSPORT,22,1174,1.87,yes,1996-2025,
KIA,EV9,22,408,5.39,no,2024-2025,
SAAB,9-3,22,627,3.51,yes,2003-2011,
FORD,ESCAPE HYBRID,21,1400,1.5,yes,2005-2010,
GRAND DESIGN,IMAGINE,21,108,19.44,no,2018-2023,
CHEVROLET,HHR,20,1559,1.28,yes,2006-2011,
HYUNDAI,EQUUS,20,119,16.81,no,2011-2016,
SUBARU,ASCENT,20,1340,1.49,yes,2019-2023,
SUBARU,CROSSTREK,20,1560,1.28,yes,2013-2024,
ACURA,RLX,19,161,11.8,no,2014-2017,
BMW,X3,19,2424,0.78,yes,2007-2025,
CHEVROLET,BOLT EV,19,1368,1.39,yes,2017-2023,
CHEVROLET,CAMARO,19,2016,0.94,yes,2010-2020,
CHEVROLET,SONIC,19,1185,1.6,yes,2012-2017,
CHRYSLER,PT CRUISER,19,664,2.86,yes,2001-2008,
FORD,MAVERICK,19,475,4.0,no,2022-2024,
JEEP,GRAND CHEROKEE 4XE,19,464,4.09,no,2022-2023,
MITSUBISHI,OUTLANDER SPORT,19,725,2.62,yes,2011-2019,
CHEVROLET,TRACKER,18,49,36.73,no,2000-2004,
FORD,F-53,18,149,12.08,no,2012-2025,
HONDA,FIT,18,2053,0.88,yes,2007-2019,
HYUNDAI,GENESIS,18,1354,1.33,yes,2009-2016,
LINCOLN,MKT,18,337,5.34,no,2010-2019,
MERCEDES BENZ,E320,18,428,4.21,no,1996-2008,
MERCEDES-BENZ,R350,18,151,11.92,no,2006-2008,
RIVIAN,R1T,18,198,9.09,no,2022-2025,
CADILLAC,ESCALADE ESV,17,684,2.49,yes,2010-2025,
JAYCO FIFTH WHEEL,NORTH POINT,17,41,41.46,no,2017-2024,
JEEP,COMMANDER,17,1761,0.97,yes,2006-2010,
JEEP,WAGONEER,17,707,2.4,yes,2022-2025,
LINCOLN,MKX,17,1551,1.1,yes,2007-2016,
TBD_TEST,TBD_TEST,17,864,1.97,yes,,
TOYOTA,AVALON,17,1410,1.21,yes,1997-2019,
TOYOTA,GRAND HIGHLANDER,17,476,3.57,no,2024-2025,
FORD,FUSION HYBRID,16,1358,1.18,yes,2010-2019,
GMC,SIERRA 2500,16,1284,1.25,yes,2000-2026,
